Date,ALL Group CPI Australia
Sep-2017,100.0
Oct-2017,100.2
Nov-2017,100.5
Dec-2017,101.2
Jan-2018,101.0
Feb-2018,100.7
Mar-2018,101.0
Apr-2018,101.6
May-2018,101.5
Jun-2018,101.5
Jul-2018,102.1
Aug-2018,101.7
Sep-2018,102.0
Oct-2018,102.5
Nov-2018,102.1
Dec-2018,102.7
Jan-2019,102.2
Feb-2019,102.2
Mar-2019,102.6
Apr-2019,103.4
May-2019,103.0
Jun-2019,102.9
Jul-2019,103.7
Aug-2019,103.3
Sep-2019,103.7
Oct-2019,104.3
Nov-2019,103.9
Dec-2019,105.0
Jan-2020,105.0
Feb-2020,104.2
Mar-2020,104.8
Apr-2020,103.5
May-2020,102.8
Jun-2020,102.8
Jul-2020,104.5
Aug-2020,104.4
Sep-2020,104.1
Oct-2020,104.8
Nov-2020,105.0
Dec-2020,105.3
Jan-2021,105.4
Feb-2021,105.3
Mar-2021,105.6
Apr-2021,106.1
May-2021,106.2
Jun-2021,106.4
Jul-2021,106.7
Aug-2021,107.0
Sep-2021,107.3
Oct-2021,107.9
Nov-2021,108.3
Dec-2021,108.9
Jan-2022,109.5
Feb-2022,110.4
Mar-2022,111.6
Apr-2022,111.9
May-2022,112.7
Jun-2022,113.5
Jul-2022,114.2
Aug-2022,114.4
Sep-2022,115.1
Oct-2022,115.3
