"All groups CPI, Australia, annual movement (%)"
,"All groups CPI (%)","Trimmed mean (%)"
"Sep-89","8.0",
"Dec-89","7.8",
"Mar-90","8.7",
"Jun-90","7.7",
"Sep-90","6.1",
"Dec-90","6.9",
"Mar-91","4.8",
"Jun-91","3.3",
"Sep-91","3.1",
"Dec-91","1.5",
"Mar-92","1.7",
"Jun-92","1.2",
"Sep-92","0.8",
"Dec-92","0.3",
"Mar-93","1.2",
"Jun-93","1.8",
"Sep-93","2.2",
"Dec-93","1.8",
"Mar-94","1.5",
"Jun-94","1.8",
"Sep-94","2.0",
"Dec-94","2.6",
"Mar-95","3.7",
"Jun-95","4.5",
"Sep-95","5.1",
"Dec-95","5.1",
"Mar-96","3.8",
"Jun-96","3.1",
"Sep-96","2.1",
"Dec-96","1.5",
"Mar-97","1.4",
"Jun-97","0.3",
"Sep-97","-0.4",
"Dec-97","-0.3",
"Mar-98","-0.1",
"Jun-98","0.7",
"Sep-98","1.4",
"Dec-98","1.5",
"Mar-99","1.2",
"Jun-99","1.0",
"Sep-99","1.8",
"Dec-99","1.9",
"Mar-00","2.8",
"Jun-00","3.1",
"Sep-00","6.1",
"Dec-00","5.8",
"Mar-01","6.0",
"Jun-01","6.1",
"Sep-01","2.5",
"Dec-01","3.1",
"Mar-02","3.0",
"Jun-02","2.8",
"Sep-02","3.2",
"Dec-02","2.9",
"Mar-03","3.3",
"Jun-03","2.6",
"Sep-03","2.6","2.8"
"Dec-03","2.4","2.7"
"Mar-04","2.0","2.6"
"Jun-04","2.5","2.6"
"Sep-04","2.3","2.6"
"Dec-04","2.5","2.7"
"Mar-05","2.4","2.7"
"Jun-05","2.5","2.7"
"Sep-05","3.1","2.7"
"Dec-05","2.8","2.6"
"Mar-06","2.9","2.8"
"Jun-06","4.0","3.0"
"Sep-06","4.0","3.1"
"Dec-06","3.3","3.0"
"Mar-07","2.5","2.7"
"Jun-07","2.1","2.8"
"Sep-07","1.8","2.9"
"Dec-07","2.9","3.6"
"Mar-08","4.3","4.2"
"Jun-08","4.4","4.4"
"Sep-08","5.0","4.8"
"Dec-08","3.7","4.3"
"Mar-09","2.4","4.1"
"Jun-09","1.4","3.6"
"Sep-09","1.2","3.1"
"Dec-09","2.1","3.2"
"Mar-10","2.9","3.1"
"Jun-10","3.1","2.8"
"Sep-10","2.9","2.6"
"Dec-10","2.8","2.2"
"Mar-11","3.3","2.2"
"Jun-11","3.5","2.7"
"Sep-11","3.4","2.5"
"Dec-11","3.0","2.7"
"Mar-12","1.6","2.3"
"Jun-12","1.2","2.0"
"Sep-12","2.0","2.3"
"Dec-12","2.2","2.2"
"Mar-13","2.5","2.3"
"Jun-13","2.4","2.4"
"Sep-13","2.2","2.4"
"Dec-13","2.7","2.7"
"Mar-14","2.9","2.7"
"Jun-14","3.0","2.8"
"Sep-14","2.3","2.4"
"Dec-14","1.7","2.2"
"Mar-15","1.3","2.3"
"Jun-15","1.5","2.2"
"Sep-15","1.5","2.1"
"Dec-15","1.7","2.1"
"Mar-16","1.3","1.7"
"Jun-16","1.0","1.6"
"Sep-16","1.3","1.6"
"Dec-16","1.5","1.5"
"Mar-17","2.1","1.7"
"Jun-17","1.9","1.7"
"Sep-17","1.8","1.7"
"Dec-17","1.9","1.7"
"Mar-18","1.9","1.7"
"Jun-18","2.1","1.6"
"Sep-18","1.9","1.7"
"Dec-18","1.8","1.8"
"Mar-19","1.3","1.6"
"Jun-19","1.6","1.5"
"Sep-19","1.7","1.5"
"Dec-19","1.8","1.5"
"Mar-20","2.2","1.7"
"Jun-20","-0.3","1.2"
"Sep-20","0.7","1.1"
"Dec-20","0.9","1.2"
"Mar-21","1.1","1.1"
"Jun-21","3.8","1.6"
"Sep-21","3.0","2.1"
"Dec-21","3.5","2.6"
"Mar-22","5.1","3.7"
"Jun-22","6.1","4.9"
"Sep-22","7.3","6.1"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September Quarter 2022"
