Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,0.4,0.4,0.8,0.3,-0.1,-0.1,-0.2,0.6,0.4,0.0,-0.5,-0.3
2013,0.3,0.8,0.3,-0.1,0.2,0.2,0.0,0.1,0.1,-0.3,-0.2,0.0
2014,0.4,0.4,0.6,0.3,0.3,0.2,0.0,-0.2,0.1,-0.3,-0.5,-0.6
2015,-0.5,0.4,0.6,0.2,0.5,0.4,0.0,-0.1,-0.2,0.0,-0.2,-0.3
2016,0.2,0.1,0.4,0.5,0.4,0.3,-0.2,0.1,0.2,0.1,-0.2,0.0
2017,0.6,0.3,0.1,0.3,0.1,0.1,-0.1,0.3,0.5,-0.1,0.0,-0.1
2018,0.5,0.5,0.2,0.4,0.4,0.2,0.0,0.1,0.1,0.2,-0.3,-0.3
2019,0.2,0.4,0.6,0.5,0.2,0.0,0.2,0.0,0.1,0.2,-0.1,-0.1
2020,0.4,0.3,-0.2,-0.7,0.0,0.5,0.5,0.3,0.1,0.0,-0.1,0.1
2021,0.4,0.5,0.7,0.8,0.8,0.9,0.5,0.2,0.3,0.8,0.5,0.3
2022,0.8,0.9,1.3,0.6,1.1,1.4,0.0,0.0,0.2,0.4,-0.1,
